nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año,postulacion,empresa
"Rafael Antonio, Álvarez Villalobos",Hombre,28,18.583.276-1,rafael.álvarez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7961-4736,Ciencias Naturales,Biología,8,Practicante en Laboratorio Biológico,Laboratorio Knop
"Ximena Susana, Gutiérrez Vargas",Mujer,21,20.408.245-9,x.gutiérrez46@udp.cl,Universidad Diego Portales,+56 9 5162-4314,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Obras Civiles,Microsoft
"Ulises Julio, Lagos Carvajal",Hombre,20,20.720.412-0,u.lagos39@udec.cl,Universidad de Concepción,+56 9 5663-6404,Ciencias Naturales,Biología,2,Practicante en Biología Marina,Laboratorio Pfizer
"Pascual Rafael, Navarro Sepúlveda",Hombre,22,20.484.936-8,p.navarro@ug.uchile.cl,Universidad de Chile,+56 9 7064-8059,Ciencias Naturales,Química,3,Practicante en Farmacología,Laboratorio Pasteur
"Rocio Yolanda, Cáceres Garrido",Mujer,27,19.414.137-1,r.cáceres24@ug.uchile.cl,Universidad de Chile,+56 9 8370-3274,Ingeniería y Tecnología,Ingeniería Civil en Computación,4,Practicante en Redes,Apple
"Cecilia Beatriz, Ávila Mendoza",Mujer,23,20.621.459-6,c.ávila66@udec.cl,Universidad de Concepción,+56 9 1099-3161,Ingeniería y Tecnología,Ingeniería Civil en Computación,4,Practicante en Ciberseguridad,Adobe
"Miguel Guillermo, Jiménez Cabrera",Hombre,19,21.229.500-5,miguel.j77@ug.uchile.cl,Universidad de Chile,+56 9 4026-4779,Ingeniería y Tecnología,Ingeniería Civil Industrial,3,Practicante en Logística,Cisco
"Diana Romina, Venegas Osorio",Mujer,28,18.157.402-5,diana.venegas@udp.cl,Universidad Diego Portales,+56 9 2526-4487,Ciencias Naturales,Física,6,Practicante en Nanotecnología,Laboratorio Knop
"Mauricio Nelson, Contreras Cabrera",Hombre,18,21.037.736-1,m.contreras81@ug.uchile.cl,Universidad de Chile,+56 9 8972-5375,Ciencias Sociales y Humanidades,Trabajo Social,2,Practicante en Protección de Menores,Banco de Chile
"Rita Ruth, Ríos Torres",Mujer,29,18.561.620-K,r.ríos56@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0086-0330,Ciencias Sociales y Humanidades,Sociología,7,Practicante en Sociología de la Educación,Universidad Católica de Chile
"Carlos Patricio, Ortiz Gutiérrez",Hombre,30,18.914.825-5,carlos.ortiz@ug.uchile.cl,Universidad de Chile,+56 9 0315-2392,Ingeniería y Tecnología,Ingeniería Civil en Computación,7,Practicante en Redes,Google
"Celia Francisca, Flores Ortiz",Mujer,23,20.336.297-7,c.flores36@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3101-1450,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Logística,Facebook
"Manuel Nicolás, Moreno Gutiérrez",Hombre,30,18.971.714-4,manuel.m19@ug.uchile.cl,Universidad de Chile,+56 9 9070-4243,Ciencias Sociales y Humanidades,Derecho,7,Practicante en Propiedad Intelectual,Universidad de Chile
"Xavier Tobías, Gómez Pizarro",Hombre,22,20.571.689-6,xavier.gómez@udp.cl,Universidad Diego Portales,+56 9 9124-6298,Ingeniería y Tecnología,Ingeniería Civil en Computación,2,Practicante en Internet de las Cosas,Intel
"Jacinto Luis, Muñoz Silva",Hombre,27,19.904.157-8,j.muñoz33@uai.cl,Universidad Adolfo Ibáñez,+56 9 2493-3448,Ingeniería y Tecnología,Ingeniería Civil en Computación,5,Practicante en Desarrollo de Software,Intel
"Paula Valerie, Rodríguez Lara",Mujer,18,21.255.435-6,p.rodríguez79@ug.uchile.cl,Universidad de Chile,+56 9 3970-2219,Ciencias Sociales y Humanidades,Derecho,3,Practicante en Derecho Penal,Banco BCI
"Claudio Ricardo, Cabrera Aguilera",Hombre,30,18.877.113-5,c.cabrera@ug.uchile.cl,Universidad de Chile,+56 9 5379-0107,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Obras Civiles,Cisco
"Patricio Rafael, Soto Ortega",Hombre,22,20.730.612-0,p.soto96@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5330-2726,Ingeniería y Tecnología,Ingeniería Civil en Computación,3,Practicante en Internet de las Cosas,Intel
"Rubén Nicolás, Tapia Ibarra",Hombre,24,19.720.470-3,rubén.tapia@udec.cl,Universidad de Concepción,+56 9 9984-7920,Ciencias Sociales y Humanidades,Trabajo Social,6,Practicante en Trabajo Social de Salud,Banco Estado
"Claudio Patricio, Fernández Campos",Hombre,28,18.347.328-9,c.fernández80@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 0870-9176,Ingeniería y Tecnología,Ingeniería Civil en Computación,7,Practicante en Ciberseguridad,Apple
"Camelia Pamela, Barrios Mora",Mujer,23,20.838.339-0,c.barrios@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0999-8975,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Calidad,Adobe
"Cristina Valerie, Gutiérrez Osorio",Mujer,21,20.246.338-6,cristina.g9@userena.cl,Universidad de La Serena,+56 9 5875-1663,Ciencias de la Salud,Kinesiología,3,Practicante en Terapia Respiratoria,Clínica Alemana Norte
"Ulises Sergio, Lillo Mora",Hombre,19,21.527.810-0,u.lillo@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6908-6626,Ciencias de la Salud,Medicina,2,Practicante en Cirugía,Clínica Alemana
"Víctor Mauricio, Rodríguez Pizarro",Hombre,29,18.830.148-8,v.rodríguez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8524-5448,Arte y Diseño,Arte Digital,6,Practicante en Animación y Modelado 3D,Agencia Ogilvy
"Catalina Fernanda, Osorio Poblete",Mujer,22,20.279.378-5,catalina.osorio@uai.cl,Universidad Adolfo Ibáñez,+56 9 7388-7213,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4,Practicante en Robótica,Intel
"Víctor Alberto, Cáceres Medina",Hombre,30,18.795.332-1,víctor.c54@ug.uchile.cl,Universidad de Chile,+56 9 7282-4711,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Sistemas de Control,Intel
"René Tobías, Leiva Cuevas",Hombre,21,20.114.963-8,r.leiva@ug.uchile.cl,Universidad de Chile,+56 9 7066-1399,Ciencias de la Salud,Medicina,4,Practicante en Cardiología,Hospital San Juan de Dios
"Juan Yago, Leiva Poblete",Hombre,28,18.983.762-0,juan.leiva@ua.cl,Universidad Austral de Chile,+56 9 4141-9901,Ingeniería y Tecnología,Ingeniería Civil,7,Practicante en Vías y Transporte,Facebook
"Nemesio Patricio, Sanchez Salazar",Hombre,25,19.019.609-7,n.sanchez@udp.cl,Universidad Diego Portales,+56 9 6375-0889,Ciencias Sociales y Humanidades,Psicología,6,Practicante en Psicoterapia,Banco BCI
"Adolfo Ximeno, Barrios Arancibia",Hombre,24,19.382.977-9,a.barrios81@uv.cl,Universidad de Valparaíso,+56 9 0297-3740,Ciencias de la Salud,Medicina,5,Practicante en Cirugía,Clínica Dávila
"Ulises César, Sanchez Vidal",Hombre,20,20.155.824-2,u.sanchez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5293-2280,Ciencias Naturales,Biología,3,Practicante en Biología Marina,Laboratorio Pfizer
"Pamela Marisol, Quinteros Mora",Mujer,27,19.858.184-3,pamela.q19@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 8463-3054,Ciencias de la Salud,Medicina,5,Practicante en Cirugía,Clínica Las Condes
"Ignacio Daniel, Sandoval Álvarez",Hombre,18,21.585.103-3,ignacio.sandoval@usach.cl,Universidad de Santiago de Chile,+56 9 1836-8040,Ciencias Sociales y Humanidades,Psicología,2,Practicante en Psicología Escolar,Banco Santander
"Alejandro Ernesto, Morales Peña",Hombre,19,21.313.724-3,a.morales@ua.cl,Universidad Austral de Chile,+56 9 7106-6969,Ciencias Naturales,Química,1,Practicante en Farmacología,Laboratorio Roche
"Urbano Claudio, Torres Aguilera",Hombre,25,19.333.562-7,u.torres30@ug.uchile.cl,Universidad de Chile,+56 9 4563-0432,Ciencias Sociales y Humanidades,Derecho,5,Practicante en Propiedad Intelectual,Banco Itaú
"Daniel Rubén, Poblete Montes",Hombre,24,19.033.675-3,daniel.poblete@udec.cl,Universidad de Concepción,+56 9 4919-1005,Ciencias de la Salud,Kinesiología,5,Practicante en Terapia Respiratoria,Hospital San Juan de Dios
"Celia Ángela, Medina Salazar",Mujer,30,18.210.091-4,celia.m23@udec.cl,Universidad de Concepción,+56 9 4697-3837,Ciencias Sociales y Humanidades,Psicología,6,Practicante en Psicología Forense,Universidad de Chile
"Daniel Hernán, Jiménez Leiva",Hombre,29,18.333.956-1,d.jiménez14@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3521-9080,Ciencias Naturales,Química,6,Practicante en Farmacología,Laboratorio Andrómaco
"Ernesto Nemesio, Ovalle Ávila",Hombre,19,21.417.209-9,ernesto.ovalle@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4933-3937,Ingeniería y Tecnología,Ingeniería Civil,2,Practicante en Geotecnia,Oracle
"Renata Belen, Arancibia Rodríguez",Mujer,25,19.778.096-5,r.arancibia88@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6405-8036,Ingeniería y Tecnología,Ingeniería Civil,5,Practicante en Hidrología,Apple
"Xavier Franco, Aguilera Mora",Hombre,20,20.802.362-1,xavier.a89@ug.uchile.cl,Universidad de Chile,+56 9 9176-4820,Ciencias Sociales y Humanidades,Trabajo Social,2,Practicante en Protección de Menores,Banco BCI
"Francisco Rodrigo, Aravena Reyes",Hombre,23,20.911.580-2,francisco.aravena@udec.cl,Universidad de Concepción,+56 9 3994-7268,Ciencias Sociales y Humanidades,Psicología,4,Practicante en Psicología Forense,Banco de Chile
"Gaspar César, Romero Fariña",Hombre,22,20.198.967-3,gaspar.r49@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3473-8704,Ingeniería y Tecnología,Ingeniería Civil,2,Practicante en Obras Civiles,Oracle
"Alejandra Camila, Lagos Pizarro",Mujer,29,18.129.732-6,a.lagos27@udec.cl,Universidad de Concepción,+56 9 6000-2608,Ciencias Sociales y Humanidades,Trabajo Social,7,Practicante en Protección de Menores,Banco BCI
"Tobías Benjamín, Oyarzún Pavez",Hombre,24,19.759.019-9,tobías.o28@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1890-3170,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Ingeniería Estructural,Google
"Nicolás Waldo, Pavez Villalobos",Hombre,29,18.629.802-3,n.pavez@ua.cl,Universidad Austral de Chile,+56 9 4422-0477,Ingeniería y Tecnología,Ingeniería Civil en Computación,6,Practicante en Inteligencia Artificial,Oracle
"Andrés René, Sepúlveda Fuentes",Hombre,19,21.878.400-3,andrés.s10@ug.uchile.cl,Universidad de Chile,+56 9 8010-0864,Ciencias de la Salud,Enfermería,3,Practicante en Cuidados Intensivos,Hospital San Juan de Dios
"Renato Rafael, Reyes Mendoza",Hombre,27,19.738.731-6,r.reyes32@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 0975-6750,Ingeniería y Tecnología,Ingeniería Civil en Computación,6,Practicante en Inteligencia Artificial,Netflix
"Armando Raúl, Rojas Osorio",Hombre,22,20.683.424-7,a.rojas@udec.cl,Universidad de Concepción,+56 9 2190-4938,Ciencias de la Salud,Odontología,4,Practicante en Periodoncia,Clínica Dávila
"Pamela Rocio, Villalobos Vásquez",Mujer,22,20.738.206-9,pamela.villalobos@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7365-0754,Ciencias de la Salud,Medicina,2,Practicante en Cardiología,Clínica Dávila
"Iván Ernesto, Fariña Soto",Hombre,22,20.149.752-K,i.fariña@ug.uchile.cl,Universidad de Chile,+56 9 6529-8066,Arte y Diseño,Arte Digital,4,Practicante en Realidad Virtual,Agencia Young & Rubicam
"Luciano Benjamín, López Peña",Hombre,28,18.262.544-2,l.lópez55@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3404-6544,Ciencias Sociales y Humanidades,Derecho,8,Practicante en Derecho Familiar,Universidad de Santiago de Chile
"Salvador Zaqueo, Aravena Donoso",Hombre,23,20.722.681-2,s.aravena75@ug.uchile.cl,Universidad de Chile,+56 9 3679-3254,Ciencias de la Salud,Odontología,2,Practicante en Periodoncia,Clínica Alemana Norte
"Teobaldo Waldo, Flores Vidal",Hombre,27,19.649.544-2,teobaldo.f47@udec.cl,Universidad de Concepción,+56 9 1710-3074,Ingeniería y Tecnología,Ingeniería Civil en Computación,5,Practicante en Ciberseguridad,Oracle
"Camelia Renata, Araya Medina",Mujer,21,20.607.588-6,camelia.a83@ug.uchile.cl,Universidad de Chile,+56 9 0756-9423,Ingeniería y Tecnología,Ingeniería Civil en Computación,3,Practicante en Internet de las Cosas,Netflix
"Marisol Ximena, Araya Villanueva",Mujer,27,19.054.418-6,marisol.a95@ug.uchile.cl,Universidad de Chile,+56 9 1546-0251,Ciencias Naturales,Química,6,Practicante en Farmacología,Laboratorio Recalcine
"Raquel Diana, Lillo Cuevas",Mujer,28,18.012.937-4,raquel.l7@ua.cl,Universidad Austral de Chile,+56 9 1563-1010,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6,Practicante en Robótica,Netflix
"Ximeno Teobaldo, Donoso Lagos",Hombre,23,20.194.487-5,ximeno.donoso@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1967-9562,Arte y Diseño,Arquitectura,2,Practicante en Arquitectura Sostenible,Agencia Saatchi & Saatchi
"Ignacia Camelia, Cabrera Barrios",Mujer,23,20.880.460-2,ignacia.c90@usach.cl,Universidad de Santiago de Chile,+56 9 4810-0510,Ciencias de la Salud,Enfermería,4,Practicante en Salud Mental,Clínica Santa María
"Zenón Maximiliano, Campos Figueroa",Hombre,28,18.407.112-6,zenón.c82@userena.cl,Universidad de La Serena,+56 9 1249-8422,Ingeniería y Tecnología,Ingeniería Civil Mecánica,8,Practicante en Fabricación de Maquinaria,Adobe
"Marcelo Marco, Gómez Reyes",Hombre,24,19.514.958-9,m.gómez@udp.cl,Universidad Diego Portales,+56 9 4028-8458,Ciencias Naturales,Biología,5,Practicante en Biología Marina,Laboratorio Pfizer
"Margarita Wendy, Lara Araya",Mujer,27,19.375.612-3,margarita.l88@uai.cl,Universidad Adolfo Ibáñez,+56 9 4051-0826,Ingeniería y Tecnología,Ingeniería Civil en Computación,6,Practicante en Redes,Google
"Julio Franco, Guzmán Cabrera",Hombre,21,20.522.004-8,julio.guzmán@usach.cl,Universidad de Santiago de Chile,+56 9 0395-9410,Ingeniería y Tecnología,Ingeniería Civil en Computación,2,Practicante en Internet de las Cosas,Microsoft
"Ignacio Ulises, Cáceres Baeza",Hombre,18,21.507.424-5,ignacio.cáceres@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5969-7123,Ciencias de la Salud,Kinesiología,2,Practicante en Fisioterapia Deportiva,Clínica Alemana
"Hugo Francisco, Ávila Lara",Hombre,28,18.642.323-3,hugo.ávila@ug.uchile.cl,Universidad de Chile,+56 9 0601-8991,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6,Practicante en Mecánica de Fluidos,Cisco
"Ximena Ignacia, Ríos Vargas",Mujer,18,21.994.899-7,x.ríos11@ug.uchile.cl,Universidad de Chile,+56 9 0772-1674,Ciencias Sociales y Humanidades,Sociología,1,Practicante en Sociología Urbana,Banco BCI
"Dante Hernán, Cáceres Sandoval",Hombre,28,18.665.100-3,dante.cáceres@udec.cl,Universidad de Concepción,+56 9 0001-7630,Ciencias Naturales,Física,6,Practicante en Óptica y Fotónica,Laboratorio Knop
"Leandro Maximiliano, Reyes Fariña",Hombre,23,20.253.377-8,leandro.reyes@udec.cl,Universidad de Concepción,+56 9 4396-6941,Ingeniería y Tecnología,Ingeniería Civil en Computación,4,Practicante en Inteligencia Artificial,Facebook
"Teobaldo Benjamín, Lara Ovalle",Hombre,22,20.375.044-2,t.lara91@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 5932-5554,Ingeniería y Tecnología,Ingeniería Civil,3,Practicante en Ingeniería Estructural,Facebook
"Felipe Flavio, Fariña Hernández",Hombre,22,20.886.979-6,felipe.f76@udec.cl,Universidad de Concepción,+56 9 1697-4481,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Calidad,Google
"Nora Alicia, Riquelme Cádiz",Mujer,29,18.436.368-7,n.riquelme82@ua.cl,Universidad Austral de Chile,+56 9 7191-8741,Ciencias de la Salud,Enfermería,8,Practicante en Salud Mental,Clínica Los Coihues
"Mireya Valeria, Quinteros Moreno",Mujer,28,18.121.115-6,m.quinteros42@ua.cl,Universidad Austral de Chile,+56 9 7327-7315,Ciencias Naturales,Química,7,Practicante en Farmacología,Laboratorio Chile
"Eduardo Ximeno, Soto Carvajal",Hombre,21,20.578.045-9,eduardo.soto@ug.uchile.cl,Universidad de Chile,+56 9 9388-4861,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Hidrología,Microsoft
"Miguel Tobías, Pavez Contreras",Hombre,18,21.514.192-9,m.pavez@ug.uchile.cl,Universidad de Chile,+56 9 3525-1929,Ciencias Sociales y Humanidades,Derecho,2,Practicante en Derechos Humanos,Universidad de Santiago de Chile
"Félix Tobías, Vergara Pavez",Hombre,24,19.364.215-9,félix.v72@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6434-4904,Ciencias Sociales y Humanidades,Sociología,6,Practicante en Sociología de la Educación,Banco BCI
"Alicia Diana, Cabrera Torres",Mujer,25,19.829.677-4,a.cabrera@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7077-5224,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Obras Civiles,Netflix
"Maximiliano Sebastián, Cádiz Valenzuela",Hombre,26,19.396.186-3,maximiliano.cádiz@ug.uchile.cl,Universidad de Chile,+56 9 5497-7730,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Hidrología,Facebook
"Rubén Teobaldo, Peña Garrido",Hombre,26,19.243.629-7,rubén.p35@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4917-4514,Arte y Diseño,Diseño Gráfico,6,Practicante en Agencia de Diseño,Agencia Young & Rubicam
"Tobías Mario, Morales Pavez",Hombre,26,19.621.305-0,t.morales62@ug.uchile.cl,Universidad de Chile,+56 9 5887-1172,Ciencias de la Salud,Medicina,5,Practicante en Cardiología,Clínica Alemana
"Marco Nelson, Santos Mendoza",Hombre,18,21.264.292-9,marco.s90@udp.cl,Universidad Diego Portales,+56 9 2579-8446,Ciencias Naturales,Geología,2,Practicante en Petrología,Laboratorio Chile
"Urbano Flavio, Rojas Vargas",Hombre,23,20.152.901-6,urbano.r21@udp.cl,Universidad Diego Portales,+56 9 5645-6213,Ciencias de la Salud,Enfermería,4,Practicante en Cirugía,Clínica Alemana Norte
"Oscar Félix, Ramírez Hernández",Hombre,22,20.602.951-5,o.ramírez99@udec.cl,Universidad de Concepción,+56 9 8834-5167,Arte y Diseño,Arquitectura,3,Practicante en Restauración Patrimonial,Agencia BBDO
"Luis Emilio, Bravo Garrido",Hombre,23,20.821.698-4,l.bravo41@ua.cl,Universidad Austral de Chile,+56 9 5701-9115,Arte y Diseño,Arquitectura,2,Practicante en Estudio de Arquitectura,Agencia Saatchi & Saatchi
"Diego Ignacio, Oyarzún Vergara",Hombre,22,20.486.979-5,d.oyarzún72@udec.cl,Universidad de Concepción,+56 9 7817-3533,Ingeniería y Tecnología,Ingeniería Civil,2,Practicante en Hidrología,Microsoft
"Luisa María, Pizarro Campos",Mujer,28,18.091.960-9,luisa.p92@usach.cl,Universidad de Santiago de Chile,+56 9 5627-3109,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Ingeniería Estructural,SpaceX
"Sebastián José, Cádiz Cuevas",Hombre,29,18.178.398-2,s.cádiz50@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5587-9245,Ingeniería y Tecnología,Ingeniería Civil Industrial,8,Practicante en Optimización de Procesos,Adobe
"Paulina Claudia, Pavez Cuevas",Mujer,18,21.326.348-9,p.pavez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7184-6985,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1,Practicante en Electrónica de Potencia,Microsoft
"Gabriela Magdalena, Osorio Rojas",Mujer,23,20.081.945-0,g.osorio30@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2385-5279,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Vías y Transporte,Apple
"Alberto Fernando, Ibarra Soto",Hombre,22,20.992.107-4,alberto.i88@ug.uchile.cl,Universidad de Chile,+56 9 6091-4362,Ciencias de la Salud,Medicina,4,Practicante en Medicina General,Clínica Los Coihues
"Lourdes Tatiana, Barrios Salazar",Mujer,18,21.733.327-1,l.barrios@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9726-5507,Arte y Diseño,Diseño Gráfico,2,Practicante en Identidad Corporativa,Agencia DDB
"Marisol Eva, Carrasco Contreras",Mujer,20,20.951.510-7,marisol.c66@ug.uchile.cl,Universidad de Chile,+56 9 0097-7671,Ciencias Sociales y Humanidades,Derecho,2,Practicante en Derechos Humanos,Universidad de Chile
"Emilio Homero, Gutiérrez Baeza",Hombre,26,19.513.895-K,e.gutiérrez0@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0010-9232,Arte y Diseño,Arquitectura,4,Practicante en Diseño de Interiores,Agencia DDB
"Ivonne Rocío, Gutiérrez Carrasco",Mujer,30,18.299.619-3,ivonne.g23@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6307-3429,Ciencias Sociales y Humanidades,Sociología,8,Practicante en Demografía,Banco Santander
"Marisol Natalia, Tapia Torres",Mujer,29,18.564.133-6,m.tapia88@ug.uchile.cl,Universidad de Chile,+56 9 4931-2695,Ingeniería y Tecnología,Ingeniería Civil en Computación,8,Practicante en Desarrollo de Software,Facebook
"Rodrigo Zenón, Vergara Pizarro",Hombre,23,20.980.300-K,rodrigo.vergara@ua.cl,Universidad Austral de Chile,+56 9 5544-3698,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3,Practicante en Energías Renovables,Netflix
"Antonia Paula, Fariña Santos",Mujer,20,20.590.465-5,antonia.f13@udec.cl,Universidad de Concepción,+56 9 7937-4878,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3,Practicante en Diseño Mecánico,Cisco
"Marcelo Ignacio, Carrasco Suárez",Hombre,29,18.149.793-K,marcelo.carrasco@ug.uchile.cl,Universidad de Chile,+56 9 8510-0260,Ingeniería y Tecnología,Ingeniería Civil en Computación,8,Practicante en Inteligencia Artificial,Adobe
"Francisco Oscar, Rojas Calderón",Hombre,28,18.868.786-3,f.rojas49@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7454-3793,Ciencias Sociales y Humanidades,Derecho,6,Practicante en Propiedad Intelectual,Banco de Chile
"Constanza Eva, Poblete Villalobos",Mujer,26,19.555.862-4,c.poblete@ug.uchile.cl,Universidad de Chile,+56 9 5482-9278,Arte y Diseño,Arquitectura,5,Practicante en Arquitectura Sostenible,Agencia DDB
"Francisco Ximeno, Aguilera Peña",Hombre,28,18.874.316-K,francisco.a28@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9777-0370,Ingeniería y Tecnología,Ingeniería Civil en Computación,6,Practicante en Ciberseguridad,Netflix
"Yolanda Claudia, Barrios Escobar",Mujer,19,21.845.064-6,y.barrios72@ua.cl,Universidad Austral de Chile,+56 9 6265-7035,Ciencias de la Salud,Enfermería,3,Practicante en Atención Primaria,Clínica Alemana Norte
"Paula Isabel, Lillo Guzmán",Mujer,29,18.665.061-7,p.lillo90@ug.uchile.cl,Universidad de Chile,+56 9 1288-4293,Ciencias de la Salud,Odontología,7,Practicante en Odontopediatría,Hospital San Juan de Dios
"Mireya Camila, Soto Lillo",Mujer,22,20.667.395-0,mireya.s87@ug.uchile.cl,Universidad de Chile,+56 9 3760-1762,Ciencias de la Salud,Kinesiología,2,Practicante en Fisioterapia Deportiva,Clínica Santa María
"Teobaldo Sebastián, Pizarro Montes",Hombre,22,20.250.444-9,teobaldo.pizarro@udec.cl,Universidad de Concepción,+56 9 7094-1956,Ingeniería y Tecnología,Ingeniería Civil en Computación,3,Practicante en Ciberseguridad,IBM
"Ingrid Valerie, Lara Rojas",Mujer,26,19.489.256-6,ingrid.lara@uv.cl,Universidad de Valparaíso,+56 9 4078-4079,Ciencias Sociales y Humanidades,Sociología,4,Practicante en Estudios de Género,Banco Estado
"Maximiliano Federico, Lara Toro",Hombre,28,18.807.550-2,m.lara33@ug.uchile.cl,Universidad de Chile,+56 9 0427-2052,Ciencias de la Salud,Kinesiología,7,Practicante en Terapia Respiratoria,Clínica Los Coihues
"Francisco Emilio, Orellana Castro",Hombre,23,20.955.399-5,f.orellana52@ua.cl,Universidad Austral de Chile,+56 9 1417-8210,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Geotecnia,IBM
"Valentina Elena, Vásquez Medina",Mujer,30,18.933.427-9,valentina.vásquez@udp.cl,Universidad Diego Portales,+56 9 8069-4820,Ciencias Naturales,Química,8,Practicante en Química Analítica,Laboratorio Pfizer
"Gabriela Emiliana, Donoso Vargas",Mujer,29,18.420.263-K,g.donoso37@uv.cl,Universidad de Valparaíso,+56 9 7097-4498,Ingeniería y Tecnología,Ingeniería Civil Mecánica,8,Practicante en Diseño Mecánico,Adobe
"Rafael Federico, Moreno Baeza",Hombre,19,21.208.928-8,r.moreno22@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 5407-9052,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Consultoría Empresarial,Cisco
"Sofía Mireya, Catalán Quinteros",Mujer,23,20.997.727-5,s.catalán57@ug.uchile.cl,Universidad de Chile,+56 9 5594-0342,Ciencias Sociales y Humanidades,Sociología,4,Practicante en Estudios de Género,Banco Estado
"Julieta Sofía, Vergara Poblete",Mujer,23,20.146.959-K,j.vergara@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 3878-3813,Ingeniería y Tecnología,Ingeniería Civil en Computación,2,Practicante en Redes,Intel
"Pascual Camilo, Reyes Rivas",Hombre,28,18.167.268-0,p.reyes54@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7236-4212,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,7,Practicante en Automatización,IBM
"René Ignacio, Mora Reyes",Hombre,27,19.668.561-5,rené.mora@uai.cl,Universidad Adolfo Ibáñez,+56 9 7870-7816,Arte y Diseño,Diseño Gráfico,4,Practicante en Diseño Editorial,Agencia JWT
"Emilia Renata, Aravena Silva",Mujer,18,21.861.280-6,e.aravena@udec.cl,Universidad de Concepción,+56 9 7269-6555,Ciencias de la Salud,Odontología,2,Practicante en Clínica Odontológica,Hospital San Juan de Dios
"Francisco Franco, Morales Lara",Hombre,26,19.255.411-4,francisco.morales@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3364-2928,Ciencias Sociales y Humanidades,Derecho,5,Practicante en Propiedad Intelectual,Banco de Chile
"Alberto Elias, Rojas Cabrera",Hombre,26,19.399.764-K,a.rojas64@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 9790-8176,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Ingeniería Estructural,Google
"Rita Carolina, Aravena Ortiz",Mujer,22,20.015.771-0,rita.a12@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2207-8094,Ciencias Sociales y Humanidades,Sociología,3,Practicante en Sociología Urbana,Banco Itaú
"Diego Waldo, Oyarzún Castro",Hombre,28,18.701.173-9,d.oyarzún66@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5675-4604,Ciencias Sociales y Humanidades,Psicología,8,Practicante en Psicoterapia,Banco de Chile
