nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año
"Urbano Maximiliano, Riquelme Lara",M,30,18.282.100-7,u.riquelme@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 4120-3260,Ciencias de la Salud,Odontología,6
"Quintín Miguel, Ríos Hernández",M,21,20.789.101-4,quintín.r15@uv.cl,Universidad de Valparaíso,+56 9 8897-2225,Ingeniería y Tecnología,Ingeniería Civil,3
"Gaspar Nicolás, Contreras Navarro",M,30,18.220.247-5,gaspar.c79@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4421-3091,Ingeniería y Tecnología,Ingeniería Civil en Computación,8
"Ivonne Gabriela, Núñez Leiva",F,26,19.631.219-6,i.núñez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2101-5758,Arte y Diseño,Diseño Gráfico,6
"Zenón Renato, Ortiz Vargas",M,28,18.198.153-4,z.ortiz41@ug.uchile.cl,Universidad de Chile,+56 9 8122-7511,Ciencias Naturales,Geología,6
"Leonardo Fernando, Mendoza Pérez",M,19,21.139.213-6,l.mendoza@ug.uchile.cl,Universidad de Chile,+56 9 6639-2025,Ciencias Sociales y Humanidades,Sociología,3
"Hugo Manuel, Lara Núñez",M,22,20.502.434-4,h.lara19@ug.uchile.cl,Universidad de Chile,+56 9 6046-9605,Ciencias Sociales y Humanidades,Derecho,3
"Alejandro Homero, Ibarra Díaz",M,26,19.386.211-7,alejandro.i29@udec.cl,Universidad de Concepción,+56 9 9310-9223,Ciencias de la Salud,Kinesiología,5
"Camila Constanza, Venegas Gómez",F,24,19.667.722-5,c.venegas29@ug.uchile.cl,Universidad de Chile,+56 9 4069-0963,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Constanza Ana, Ortiz Rivas",F,23,20.766.474-6,constanza.o0@udec.cl,Universidad de Concepción,+56 9 6739-3361,Ciencias Sociales y Humanidades,Sociología,2
"Ximena Marjorie, Hernández Silva",F,27,19.808.633-7,x.hernández89@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8086-2404,Ingeniería y Tecnología,Ingeniería Civil,6
"Valentín Carlos, Bustos Sanchez",M,19,21.969.303-9,v.bustos@usach.cl,Universidad de Santiago de Chile,+56 9 4384-7493,Ingeniería y Tecnología,Ingeniería Civil Mecánica,1
"Kelvin Xavier, Reyes Muñoz",M,18,21.353.782-9,kelvin.r41@usach.cl,Universidad de Santiago de Chile,+56 9 2256-0237,Ciencias Sociales y Humanidades,Psicología,3
"Sergio Hernán, Fernández Gómez",M,25,19.304.370-9,s.fernández11@udp.cl,Universidad Diego Portales,+56 9 8370-9211,Ciencias Sociales y Humanidades,Derecho,5
"Kelvin Maximiliano, Barrios Suárez",M,25,19.155.991-2,k.barrios@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5418-6024,Ciencias Sociales y Humanidades,Sociología,5
"Celia Luisa, Osorio Castro",F,30,18.483.755-3,celia.osorio@ug.uchile.cl,Universidad de Chile,+56 9 8321-8073,Ingeniería y Tecnología,Ingeniería Civil Mecánica,8
"José Alberto, Vargas Herrera",M,22,20.732.332-8,j.vargas17@udec.cl,Universidad de Concepción,+56 9 2168-6354,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Natalia Emilia, Cisternas Bravo",F,28,18.901.910-5,n.cisternas7@udp.cl,Universidad Diego Portales,+56 9 0992-0521,Ciencias Naturales,Química,6
"Carmen Margarita, Lillo Ramírez",F,23,20.055.053-0,c.lillo@uai.cl,Universidad Adolfo Ibáñez,+56 9 6034-9978,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Pablo Yago, Guzmán Santos",M,24,19.436.765-1,p.guzmán40@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4234-1520,Arte y Diseño,Arte Digital,4
"Daniela Violeta, Osorio Gómez",F,24,19.578.350-K,daniela.osorio@udec.cl,Universidad de Concepción,+56 9 5130-0864,Arte y Diseño,Arquitectura,5
"Roberto Ernesto, Toledo Sandoval",M,24,19.849.793-K,roberto.t14@ua.cl,Universidad Austral de Chile,+56 9 5271-3518,Ingeniería y Tecnología,Ingeniería Civil Industrial,5
"Oscar Carlos, Torres Fernández",M,20,20.709.018-9,o.torres@udec.cl,Universidad de Concepción,+56 9 1360-0426,Ciencias de la Salud,Odontología,4
"Álvaro Daniel, Suárez Martínez",M,30,18.325.434-7,á.suárez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6576-9766,Ciencias Naturales,Biología,7
"Celia Olga, Valenzuela Figueroa",F,25,19.927.966-5,c.valenzuela60@uv.cl,Universidad de Valparaíso,+56 9 7406-6064,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Héctor Quintín, Montes Flores",M,20,20.250.547-1,h.montes@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9880-1385,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3
"Francisco Salvador, Calderón Vidal",M,27,19.023.296-3,francisco.c68@udp.cl,Universidad Diego Portales,+56 9 1516-2617,Ciencias de la Salud,Enfermería,4
"Wendy Antonia, Soto Araya",F,26,19.477.847-K,w.soto@ug.uchile.cl,Universidad de Chile,+56 9 1735-7560,Ciencias de la Salud,Odontología,4
"Ricardo Rubén, Pavez Pizarro",M,25,19.862.679-5,ricardo.p69@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4775-9983,Arte y Diseño,Arte Digital,5
"Bárbara Tatiana, Flores Cortés",F,22,20.302.067-6,b.flores91@udec.cl,Universidad de Concepción,+56 9 6435-6224,Ciencias Sociales y Humanidades,Sociología,3
"Gaspar Quintín, Mora Vargas",M,27,19.827.427-9,gaspar.mora@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2256-6414,Ingeniería y Tecnología,Ingeniería Civil Industrial,4
"Renato Armando, Aravena Herrera",M,21,20.483.985-7,renato.a54@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6856-0854,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4
"Luz Catalina, González Lara",F,25,19.919.192-4,l.gonzález50@udec.cl,Universidad de Concepción,+56 9 5183-2625,Ciencias Sociales y Humanidades,Sociología,6
"Dante Sergio, Rodríguez Vidal",M,21,20.273.061-4,d.rodríguez60@ug.uchile.cl,Universidad de Chile,+56 9 6749-3671,Ciencias Sociales y Humanidades,Psicología,2
"Waldo César, Villalobos Ríos",M,22,20.802.053-6,w.villalobos9@ua.cl,Universidad Austral de Chile,+56 9 6708-7601,Ciencias de la Salud,Kinesiología,4
"Sergio Eduardo, Aravena Valencia",M,23,20.569.585-4,s.aravena27@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0614-8400,Ingeniería y Tecnología,Ingeniería Civil en Computación,3
"Ximena Marcela, Fuentes Tapia",F,24,19.537.561-9,x.fuentes7@ug.uchile.cl,Universidad de Chile,+56 9 1501-1677,Ciencias de la Salud,Enfermería,5
"Teresa Valerie, Moreno Rodríguez",F,25,19.071.556-8,t.moreno85@ug.uchile.cl,Universidad de Chile,+56 9 7829-7002,Ciencias Sociales y Humanidades,Derecho,4
"Yerko Fernando, Morales Ríos",M,18,21.267.483-3,yerko.m45@usach.cl,Universidad de Santiago de Chile,+56 9 8598-0142,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Salvador Nelson, Medina Fernández",M,19,21.767.235-K,salvador.m95@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9260-0477,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3
"Ximena Belen, Vergara López",F,18,21.324.353-6,ximena.vergara@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4117-6527,Ciencias Sociales y Humanidades,Derecho,2
"Clemente Hugo, Medina Cáceres",M,27,19.736.207-K,clemente.medina@ug.uchile.cl,Universidad de Chile,+56 9 6146-9675,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4
"Nelson Héctor, Vidal Mora",M,20,20.677.687-9,nelson.vidal@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 4054-4475,Ingeniería y Tecnología,Ingeniería Civil Industrial,2
"Alberto Andrés, Ramírez Silva",M,19,21.639.490-8,a.ramírez@udp.cl,Universidad Diego Portales,+56 9 2092-6667,Ingeniería y Tecnología,Ingeniería Civil,1
"Clemente René, Álvarez Valenzuela",M,24,19.966.229-5,c.álvarez49@ug.uchile.cl,Universidad de Chile,+56 9 5345-9521,Ciencias de la Salud,Medicina,6
"Ricardo Maximiliano, Cisternas Avendaño",M,27,19.589.653-4,r.cisternas@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7014-3750,Ingeniería y Tecnología,Ingeniería Civil en Computación,5
"Álvaro Alberto, Bustos Ávila",M,21,20.348.391-4,á.bustos@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0905-5844,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Elias Diego, Rivas Sandoval",M,29,18.955.734-0,e.rivas25@udec.cl,Universidad de Concepción,+56 9 2019-8214,Ciencias Sociales y Humanidades,Derecho,6
"Maximiliano Carlos, Vargas Díaz",M,24,19.294.449-6,maximiliano.vargas@ua.cl,Universidad Austral de Chile,+56 9 5901-4104,Ciencias de la Salud,Kinesiología,4
"Waldo Alberto, Herrera Mora",M,26,19.208.033-2,w.herrera84@udec.cl,Universidad de Concepción,+56 9 1731-1457,Ciencias Sociales y Humanidades,Sociología,5
"Nemesio Gonzalo, Soto Rodríguez",M,30,18.355.237-6,n.soto@usach.cl,Universidad de Santiago de Chile,+56 9 1657-8055,Ciencias Sociales y Humanidades,Sociología,6
"Belen Marisol, Fuentes Sáez",F,18,21.019.997-9,belen.f78@ug.uchile.cl,Universidad de Chile,+56 9 8946-5479,Ingeniería y Tecnología,Ingeniería Civil,1
"Francisco José, Araya Castro",M,21,20.041.653-0,f.araya91@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0219-0713,Ciencias Naturales,Biología,2
"Rubén Sergio, Reyes Santos",M,25,19.004.656-3,r.reyes96@ug.uchile.cl,Universidad de Chile,+56 9 3324-1907,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Miguel Javier, Jiménez Ramírez",M,20,20.211.063-1,m.jiménez38@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 8398-3151,Ingeniería y Tecnología,Ingeniería Civil Industrial,4
"Tobías Pedro, Cuevas Ortiz",M,23,20.497.839-0,tobías.c54@usach.cl,Universidad de Santiago de Chile,+56 9 5140-2128,Ingeniería y Tecnología,Ingeniería Civil en Computación,2
"Antonio Simón, Figueroa Flores",M,30,18.909.445-6,antonio.figueroa@ug.uchile.cl,Universidad de Chile,+56 9 4396-5537,Ciencias Naturales,Geología,6
"Cristián Javier, Santos Poblete",M,18,21.613.341-5,cristián.s95@ug.uchile.cl,Universidad de Chile,+56 9 2405-8711,Ingeniería y Tecnología,Ingeniería Civil en Computación,2
"Francisca Marjorie, Araya Donoso",F,25,19.362.793-4,f.araya53@uai.cl,Universidad Adolfo Ibáñez,+56 9 6205-9288,Ciencias Naturales,Biología,6
"Cecilia Natalia, Lara Villanueva",F,26,19.698.806-9,cecilia.lara@ug.uchile.cl,Universidad de Chile,+56 9 2942-7642,Ciencias de la Salud,Odontología,5
"Flavio Emilio, Castro Álvarez",M,29,18.300.348-8,f.castro21@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8955-3286,Ciencias Sociales y Humanidades,Psicología,8
"Diego Leandro, Oyarzún Venegas",M,29,18.193.556-9,diego.oyarzún@uai.cl,Universidad Adolfo Ibáñez,+56 9 3222-6985,Arte y Diseño,Arte Digital,6
"Federico Sebastián, Cisternas Ríos",M,26,19.230.821-4,f.cisternas@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7483-6486,Ciencias Sociales y Humanidades,Psicología,4
"Héctor Alejandro, Gutiérrez Lara",M,23,20.264.055-3,héctor.gutiérrez@userena.cl,Universidad de La Serena,+56 9 3490-7399,Ingeniería y Tecnología,Ingeniería Civil,3
"Cristián Alberto, Barrios Cisternas",M,27,19.185.508-7,cristián.b86@userena.cl,Universidad de La Serena,+56 9 1539-0724,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Renata Claudia, Osorio Bravo",F,22,20.636.748-6,r.osorio32@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7479-9451,Arte y Diseño,Arquitectura,3
"Pablo Zaqueo, Figueroa Bravo",M,23,20.978.434-1,pablo.f14@udp.cl,Universidad Diego Portales,+56 9 6051-2507,Arte y Diseño,Arquitectura,2
"Clemente Sebastián, Pérez Martínez",M,19,21.553.213-0,c.pérez83@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5362-6898,Ciencias de la Salud,Medicina,1
"Ignacio Luciano, Avendaño Vergara",M,27,19.134.433-1,i.avendaño@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5713-3139,Ciencias Sociales y Humanidades,Trabajo Social,4
"Rita Julieta, Hernández Barrios",F,23,20.161.255-3,r.hernández@userena.cl,Universidad de La Serena,+56 9 6524-5569,Arte y Diseño,Arquitectura,4
"Pedro Ulises, Morales Soto",M,30,18.831.852-7,pedro.m8@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 3841-9489,Ingeniería y Tecnología,Ingeniería Civil en Computación,8
"Diego Waldo, Bustos Avendaño",M,26,19.029.664-9,diego.b13@usach.cl,Universidad de Santiago de Chile,+56 9 0059-1355,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4
"Waldo Marcelo, Escobar Flores",M,25,19.452.123-2,waldo.escobar@udec.cl,Universidad de Concepción,+56 9 4164-2287,Ciencias Sociales y Humanidades,Trabajo Social,4
"Natalia Valentina, Calderón Rojas",F,22,20.993.175-0,natalia.c7@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9610-9033,Arte y Diseño,Arte Digital,4
"Yago Valentín, Carrasco Silva",M,27,19.037.561-7,yago.c50@udp.cl,Universidad Diego Portales,+56 9 4082-5275,Arte y Diseño,Arte Digital,5
"Hugo Daniel, Morales Rojas",M,24,19.884.934-3,h.morales92@udec.cl,Universidad de Concepción,+56 9 1545-3457,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Catalina Javiera, Castro Cuevas",F,25,19.748.833-8,c.castro99@userena.cl,Universidad de La Serena,+56 9 6771-5008,Ciencias de la Salud,Odontología,5
"Mónica Antonella, Soto Vargas",F,18,21.702.083-2,m.soto@ua.cl,Universidad Austral de Chile,+56 9 6414-9171,Ciencias Sociales y Humanidades,Psicología,3
"Salvador Rafael, Pérez Torres",M,24,19.063.805-8,s.pérez@ug.uchile.cl,Universidad de Chile,+56 9 1857-5461,Ciencias de la Salud,Kinesiología,5
"Vanessa Patricia, Toledo Villanueva",F,25,19.899.573-1,vanessa.t63@ua.cl,Universidad Austral de Chile,+56 9 5579-5632,Ciencias Sociales y Humanidades,Derecho,4
"Elias Pedro, Calderón Tapia",M,24,19.415.054-4,elias.calderón@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3596-2317,Ciencias Sociales y Humanidades,Psicología,4
"Julio Maximiliano, Escobar Aravena",M,20,20.351.852-4,j.escobar@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5477-0254,Ciencias Sociales y Humanidades,Psicología,4
"Julio Rafael, Espinoza Rodríguez",M,23,20.223.552-8,julio.espinoza@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 3737-2094,Arte y Diseño,Arte Digital,3
"Waldo Armando, Espinoza Cádiz",M,23,20.734.774-9,w.espinoza67@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 2044-2508,Ciencias Sociales y Humanidades,Trabajo Social,4
"Javier Iván, Lara Toro",M,24,19.373.316-0,j.lara91@udec.cl,Universidad de Concepción,+56 9 7192-3508,Arte y Diseño,Diseño Gráfico,5
"Ana Valerie, Oyarzún Venegas",F,27,19.950.686-2,ana.oyarzún@uv.cl,Universidad de Valparaíso,+56 9 2297-0020,Ingeniería y Tecnología,Ingeniería Civil en Computación,6
"Luz Ruth, Muñoz Montes",F,19,21.401.627-2,l.muñoz65@ug.uchile.cl,Universidad de Chile,+56 9 1202-6118,Ciencias Sociales y Humanidades,Trabajo Social,1
"Ana Fernanda, Ramírez Valenzuela",F,28,18.870.839-4,ana.r68@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5703-3050,Ciencias de la Salud,Enfermería,7
"Rubén Joaquín, Ríos López",M,29,18.123.977-5,r.ríos23@udec.cl,Universidad de Concepción,+56 9 0616-2640,Arte y Diseño,Diseño Gráfico,7
"Julio Roberto, Montes Ríos",M,18,21.667.724-9,julio.m79@ua.cl,Universidad Austral de Chile,+56 9 4172-0643,Arte y Diseño,Diseño Gráfico,3
"César Miguel, Vidal Ríos",M,25,19.383.998-K,c.vidal78@udec.cl,Universidad de Concepción,+56 9 2180-6845,Arte y Diseño,Arquitectura,6
"Carmen Nora, Escobar Fernández",F,28,18.180.575-2,carmen.e11@udp.cl,Universidad Diego Portales,+56 9 3970-5757,Ciencias de la Salud,Odontología,6
"Ignacia Pía, Álvarez Martínez",F,27,19.159.152-6,ignacia.á85@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1732-6755,Ciencias de la Salud,Enfermería,4
"Feliciano René, Vásquez Cabrera",M,23,20.177.578-2,feliciano.v62@udec.cl,Universidad de Concepción,+56 9 9698-7508,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Eva Paulina, Calderón Reyes",F,19,21.111.004-7,e.calderón24@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1710-6875,Ciencias Sociales y Humanidades,Psicología,2
"Rodrigo Felipe, Toledo Moreno",M,26,19.009.511-0,rodrigo.t1@usach.cl,Universidad de Santiago de Chile,+56 9 8819-1488,Ciencias Naturales,Biología,6
"Roberto Sergio, Rodríguez Rojas",M,30,18.913.199-0,r.rodríguez29@ug.uchile.cl,Universidad de Chile,+56 9 2462-1330,Ciencias Sociales y Humanidades,Sociología,6
"Valentina Julieta, Cáceres Rodríguez",F,23,20.531.508-9,valentina.cáceres@ug.uchile.cl,Universidad de Chile,+56 9 7506-0291,Ciencias de la Salud,Odontología,2
"Quintín Gonzalo, Ibarra Hernández",M,30,18.323.529-1,q.ibarra85@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9202-3102,Ciencias de la Salud,Kinesiología,7
"Daniel Juan, Romero Tapia",M,23,20.309.380-2,d.romero@userena.cl,Universidad de La Serena,+56 9 9599-8529,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3
"Joaquín Valentín, Avendaño Reyes",M,20,20.310.687-0,j.avendaño@udec.cl,Universidad de Concepción,+56 9 9491-4501,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3
"Franco Eduardo, Villanueva Riquelme",M,29,18.981.719-9,f.villanueva@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0447-2970,Ciencias Naturales,Física,7
"Josefina Patricia, Peña Aguilera",F,28,18.673.413-8,josefina.peña@userena.cl,Universidad de La Serena,+56 9 7911-6382,Ciencias Naturales,Geología,6
"Pascual Daniel, Torres Valencia",M,23,20.839.904-0,pascual.t30@udec.cl,Universidad de Concepción,+56 9 8576-2035,Ciencias Sociales y Humanidades,Trabajo Social,3
"Antonella Alejandra, Cabrera Hernández",F,27,19.329.198-9,antonella.cabrera@udec.cl,Universidad de Concepción,+56 9 0860-8970,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Luciano Teobaldo, Navarro Ortega",M,19,21.094.640-0,l.navarro51@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7379-0933,Ingeniería y Tecnología,Ingeniería Civil Mecánica,1
"Nicolás Rafael, Valdés Riquelme",M,30,18.463.646-1,n.valdés83@ug.uchile.cl,Universidad de Chile,+56 9 6417-4400,Arte y Diseño,Arte Digital,7
"Flavio Yerko, Rivas Sandoval",M,19,21.459.037-5,f.rivas40@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0200-3612,Ingeniería y Tecnología,Ingeniería Civil en Computación,1
"Mario Álvaro, Ibarra Aguilera",M,18,21.270.609-K,m.ibarra56@ua.cl,Universidad Austral de Chile,+56 9 4615-6974,Ciencias Sociales y Humanidades,Trabajo Social,3
"Osvaldo Diego, Bravo Mendoza",M,28,18.987.699-0,osvaldo.bravo@udp.cl,Universidad Diego Portales,+56 9 0696-9931,Ciencias Naturales,Geología,8
"Eduardo Gonzalo, Valdés Muñoz",M,30,18.693.514-9,e.valdés48@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3444-5212,Ciencias Sociales y Humanidades,Psicología,8
"Eugenia Luisa, Montes Fernández",F,18,21.113.850-1,e.montes14@udec.cl,Universidad de Concepción,+56 9 7886-5836,Ciencias Sociales y Humanidades,Psicología,1
"Mauricio Julio, Sanchez Poblete",M,27,19.911.107-8,mauricio.sanchez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2887-3711,Ciencias de la Salud,Odontología,4
"Oscar Salvador, Baeza Ríos",M,26,19.201.735-1,oscar.b58@ug.uchile.cl,Universidad de Chile,+56 9 9343-4148,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Patricio Roberto, Araya Poblete",M,26,19.355.660-7,p.araya@usach.cl,Universidad de Santiago de Chile,+56 9 3506-6410,Arte y Diseño,Arte Digital,5
"Víctor Carlos, Espinoza Lillo",M,18,21.274.413-1,víctor.espinoza@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9583-5437,Ciencias Sociales y Humanidades,Sociología,3
"Felipe Zenón, Ortiz Carrasco",M,26,19.917.001-6,f.ortiz92@uai.cl,Universidad Adolfo Ibáñez,+56 9 9626-5652,Ciencias de la Salud,Kinesiología,5
"Lucía Delfina, Quinteros Sáez",F,19,21.516.217-6,lucía.quinteros@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0246-8130,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Mauricio Raúl, Toledo Moreno",M,22,20.202.926-2,m.toledo@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4632-5523,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3
"Feliciano Fernando, Cabrera Riquelme",M,25,19.741.599-7,feliciano.c81@usach.cl,Universidad de Santiago de Chile,+56 9 0717-6778,Ciencias Naturales,Química,6
"Elias Ernesto, Figueroa Martínez",M,18,21.908.218-5,elias.f16@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3875-4441,Ingeniería y Tecnología,Ingeniería Civil Industrial,1
"Laura Elena, Valenzuela Fariña",F,26,19.534.184-4,laura.valenzuela@userena.cl,Universidad de La Serena,+56 9 3716-7635,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Héctor Tobías, Catalán Mora",M,18,21.368.462-6,héctor.c14@ua.cl,Universidad Austral de Chile,+56 9 7907-0991,Ingeniería y Tecnología,Ingeniería Civil en Computación,3
"Yago Homero, Fariña Barrios",M,20,20.226.957-6,y.fariña8@ug.uchile.cl,Universidad de Chile,+56 9 6684-3441,Ingeniería y Tecnología,Ingeniería Civil en Computación,2
"Beatriz Valerie, Escobar Poblete",F,22,20.025.387-K,b.escobar69@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7802-6981,Ciencias Sociales y Humanidades,Trabajo Social,4
"Ingrid Beatriz, Catalán Navarro",F,21,20.756.845-5,i.catalán23@ug.uchile.cl,Universidad de Chile,+56 9 2732-7513,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2
"Jacinto Gaspar, Carvajal Oyarzún",M,24,19.477.953-5,jacinto.carvajal@udp.cl,Universidad Diego Portales,+56 9 6493-6610,Ingeniería y Tecnología,Ingeniería Civil en Computación,6
"Tobías Pedro, Romero Riquelme",M,27,19.732.446-3,tobías.r42@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4837-6129,Ciencias de la Salud,Kinesiología,4
"Sebastián Félix, Pavez Pavez",M,29,18.907.054-7,s.pavez60@udec.cl,Universidad de Concepción,+56 9 3406-7524,Ciencias de la Salud,Medicina,7
"Ignacio Maximiliano, Pavez González",M,27,19.211.779-9,i.pavez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4565-0800,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Flavio Javier, Sáez Contreras",M,30,18.377.942-7,f.sáez95@ug.uchile.cl,Universidad de Chile,+56 9 8663-0948,Ciencias Sociales y Humanidades,Psicología,6
"Waldo Diego, Osorio Catalán",M,19,21.956.864-3,w.osorio62@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 0894-0065,Ciencias Sociales y Humanidades,Sociología,3
"Rafael Rafael, Baeza Gutiérrez",M,25,19.500.957-K,rafael.baeza@ua.cl,Universidad Austral de Chile,+56 9 1568-7446,Ciencias Sociales y Humanidades,Psicología,6
"Camelia Sofía, Rojas Castro",F,18,21.660.400-9,c.rojas@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 6615-4966,Ciencias Sociales y Humanidades,Psicología,2
"Pedro Patricio, Romero Mendoza",M,19,21.792.673-2,pedro.r71@ua.cl,Universidad Austral de Chile,+56 9 2603-5778,Ciencias Sociales y Humanidades,Psicología,2
"Quintín Ulises, Osorio Jiménez",M,27,19.932.365-7,q.osorio55@ug.uchile.cl,Universidad de Chile,+56 9 6367-1368,Ingeniería y Tecnología,Ingeniería Civil,4
"Tobías Diego, Navarro Álvarez",M,24,19.209.524-7,tobías.n51@ug.uchile.cl,Universidad de Chile,+56 9 2775-8720,Ciencias Naturales,Química,6
"Valentina Ángela, Oyarzún Valenzuela",F,18,21.432.912-6,valentina.oyarzún@ug.uchile.cl,Universidad de Chile,+56 9 4949-7945,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3
"Joaquín Salvador, Valencia Orellana",M,29,18.254.350-3,joaquín.v51@uai.cl,Universidad Adolfo Ibáñez,+56 9 3043-7523,Ciencias de la Salud,Enfermería,7
"Rafael Luciano, Sáez Castro",M,27,19.833.731-K,r.sáez48@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5621-4696,Arte y Diseño,Arquitectura,6
"Ernesto Francisco, Romero Lillo",M,21,20.099.125-6,ernesto.r56@ug.uchile.cl,Universidad de Chile,+56 9 4407-5511,Ciencias Naturales,Geología,4
"Joaquín Javier, Vergara Garrido",M,19,21.896.305-7,j.vergara52@ug.uchile.cl,Universidad de Chile,+56 9 0363-2680,Ingeniería y Tecnología,Ingeniería Civil en Computación,1
"Mario Roberto, Vergara Bustos",M,28,18.870.775-2,mario.vergara@usach.cl,Universidad de Santiago de Chile,+56 9 3075-4993,Ciencias de la Salud,Enfermería,7
"Salvador Eduardo, Aravena Santos",M,27,19.487.604-3,salvador.aravena@uai.cl,Universidad Adolfo Ibáñez,+56 9 0646-8481,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4
"Lourdes Claudia, Catalán Ortiz",F,22,20.175.427-5,lourdes.catalán@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8924-5559,Ciencias Sociales y Humanidades,Derecho,2
"Cristina Emilia, Guzmán Figueroa",F,18,21.292.708-K,cristina.g91@userena.cl,Universidad de La Serena,+56 9 8693-0394,Arte y Diseño,Arte Digital,1
"Andrea Josefina, Torres Cortés",F,28,18.204.501-2,a.torres85@udec.cl,Universidad de Concepción,+56 9 6194-8065,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Rubén Homero, Cisternas Silva",M,28,18.926.002-6,r.cisternas65@ua.cl,Universidad Austral de Chile,+56 9 1595-4703,Ciencias Naturales,Geología,6
"Ramón Andrés, Rivas Bustos",M,25,19.345.771-8,r.rivas83@usach.cl,Universidad de Santiago de Chile,+56 9 2276-8307,Ciencias de la Salud,Medicina,4
"Verónica Eugenia, Aravena Jiménez",F,24,19.186.895-9,v.aravena86@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7540-9027,Ciencias de la Salud,Kinesiología,4
